Ref No,Calibre,Projectile Type,Projectile Dimension,dai,projectile mass,total mass with sabbot,Petal burst pressure,powder mass,Actual Velocity,expected velocity,Shape,s_type,Breadth,Height,Material,c_drag,Surface Area,Volume,SA/vol,Density,Moment of inerta,cd,sabo length
297,29 mm,D,13.26,13.26,19.77,22.4,58.44,3.4,1092.31,1023.0,conical,type1,10.13,,aluminum,0.82,552.379,1220.757,0.452,2700,0.3849,0.83,26.03
298,40 mm,A,15.36,15.36,14.95,15.55,60.06,1.73,874.5,874.99,conical,type3,,,tungsten,0.533,741.195,1897.458,0.391,19300,0.1059,0.801,30.85
299,40 mm,E,5.91,5.91,18.75,20.08,38.59,3.65,1162.75,1156.84,conical,type1,8.92,13.0,tungsten,0.113,109.73,108.084,1.015,19300,0.3199,0.615,49.13
300,40 mm,C,11.55,11.55,13.85,16.26,73.85,5.97,1534.65,1521.99,conical,type1,,,brass,0.123,419.096,806.76,0.519,8500,0.1894,0.618,38.73
301,40 mm,A,19.37,19.37,11.01,11.84,58.78,3.44,1148.44,1142.45,spherical,type2,12.37,7.65,brass,0.655,1178.716,3805.288,0.31,8500,0.345,0.832,62.63
302,40 mm,D,6.52,6.52,16.72,17.6,83.78,1.87,877.71,891.68,cylindrical,type1,12.61,5.65,brass,0.339,133.55,145.125,0.92,8500,0.2604,0.882,53.7
303,29 mm,A,11.44,11.44,3.88,6.01,86.86,2.94,1182.95,1136.82,conical,type2,6.49,14.67,aluminum,0.28,411.152,783.929,0.524,2700,0.1636,0.481,24.57
304,40 mm,D,12.22,12.22,18.46,20.29,65.59,1.61,767.76,826.33,spherical,type1,10.91,8.32,tungsten,0.335,469.129,955.459,0.491,19300,0.2034,0.642,44.79
305,40 mm,A,8.59,8.59,3.38,5.33,59.86,5.87,1628.7,1598.6,conical,type2,,5.23,steel,0.631,231.812,331.878,0.698,7800,0.1515,0.886,28.6
306,29 mm,A,8.74,8.74,9.9,11.7,36.62,5.04,1480.0,1423.11,spherical,type2,4.91,3.58,aluminum,0.292,239.979,349.569,0.686,2700,0.2754,0.401,45.23
307,40 mm,A,7.72,7.72,16.83,18.7,50.57,4.75,1314.72,1298.06,spherical,type2,10.42,14.07,aluminum,0.852,187.234,240.908,0.777,2700,0.4203,0.869,68.45
308,40 mm,D,6.63,6.63,4.37,4.95,22.0,4.24,1351.65,1325.26,conical,type3,,4.64,tungsten,0.608,138.095,152.595,0.905,19300,0.2818,0.138,55.91
309,40 mm,E,19.36,19.36,13.85,14.57,96.17,2.76,985.71,991.2,ogive,type2,13.42,,tungsten,0.676,1177.499,3799.397,0.31,19300,0.2877,0.288,46.7
310,40 mm,C,19.21,19.21,7.99,9.49,76.71,5.42,1447.2,1492.02,spherical,type1,14.97,,steel,0.711,1159.323,3711.767,0.312,7800,0.1757,0.758,59.33
311,40 mm,A,8.79,8.79,19.14,21.57,105.29,2.86,942.21,968.14,conical,type3,,8.33,tungsten,0.843,242.732,355.603,0.683,19300,0.3115,0.153,68.58
312,40 mm,E,5.64,5.64,5.28,6.86,116.66,4.39,1340.62,1302.04,spherical,type2,8.56,,tungsten,0.415,99.933,93.937,1.064,19300,0.0384,0.352,55.44
313,40 mm,A,19.78,19.78,7.44,10.03,114.8,4.06,1184.5,1225.62,spherical,type3,4.27,13.2,aluminum,0.538,1229.143,4052.075,0.303,2700,0.0118,0.716,77.85
314,40 mm,E,5.61,5.61,4.26,5.84,78.45,5.68,1418.03,1474.51,cylindrical,type2,13.37,5.19,aluminum,0.162,98.873,92.446,1.07,2700,0.4999,0.896,38.19
315,40 mm,B,9.89,9.89,13.7,14.37,89.62,2.25,899.34,923.87,spherical,type2,5.45,10.37,brass,0.75,307.286,506.509,0.607,8500,0.0148,0.106,76.52
316,29 mm,A,12.28,12.28,19.78,21.9,93.27,2.81,983.29,990.93,conical,type2,,,aluminum,0.246,473.747,969.602,0.489,2700,0.4781,0.88,47.69
317,40 mm,D,15.29,15.29,11.87,12.85,24.53,1.85,965.46,935.22,ogive,type2,4.52,,tungsten,0.538,734.454,1871.635,0.392,19300,0.1113,0.308,34.86
318,40 mm,D,13.72,13.72,4.17,5.83,46.86,3.62,1123.71,1182.43,cylindrical,type3,,10.41,brass,0.411,591.368,1352.262,0.437,8500,0.172,0.337,59.73
319,40 mm,C,11.13,11.13,17.2,17.9,90.38,3.45,1107.01,1056.69,conical,type3,11.65,13.35,tungsten,0.278,389.171,721.912,0.539,19300,0.2311,0.168,22.73
320,40 mm,A,19.2,19.2,10.59,11.76,34.42,5.7,1504.58,1485.44,cylindrical,type3,,9.13,aluminum,0.714,1158.117,3705.973,0.313,2700,0.4311,0.251,61.53
321,40 mm,A,6.59,6.59,4.81,7.43,26.29,2.16,991.92,1019.75,spherical,type3,,,brass,0.651,136.433,149.849,0.91,8500,0.4973,0.29,67.19
322,40 mm,A,18.29,18.29,6.21,8.99,100.16,5.01,1385.38,1401.19,spherical,type3,,11.2,steel,0.652,1050.938,3203.611,0.328,7800,0.3005,0.382,41.68
323,40 mm,C,16.7,16.7,6.34,9.33,105.82,4.56,1278.9,1330.39,ogive,type1,7.17,6.1,aluminum,0.656,876.159,2438.642,0.359,2700,0.2234,0.753,58.76
324,40 mm,C,14.23,14.23,6.31,8.68,75.04,5.28,1378.85,1411.45,spherical,type1,5.12,,steel,0.471,636.15,1508.736,0.422,7800,0.4669,0.819,71.97
325,29 mm,B,12.99,12.99,7.57,9.12,102.93,4.56,1400.65,1367.85,cylindrical,type2,12.73,12.37,steel,0.315,530.113,1147.694,0.462,7800,0.0803,0.786,48.58
326,40 mm,A,9.03,9.03,19.24,21.49,104.43,5.53,1361.11,1360.71,ogive,type1,7.71,,steel,0.197,256.168,385.533,0.664,7800,0.038,0.853,61.05
327,40 mm,B,6.56,6.56,14.17,16.45,50.92,5.14,1476.43,1415.12,spherical,type3,,5.33,brass,0.115,135.194,147.812,0.915,8500,0.3909,0.468,52.89
328,29 mm,E,12.36,12.36,17.91,19.9,84.23,4.24,1158.6,1206.46,ogive,type2,13.99,13.72,tungsten,0.264,479.94,988.676,0.485,19300,0.1975,0.11,71.77
329,29 mm,D,6.69,6.69,18.55,21.33,21.43,3.24,1027.59,1059.22,cylindrical,type1,11.89,7.46,tungsten,0.778,140.605,156.775,0.897,19300,0.2546,0.835,31.77
330,40 mm,C,9.95,9.95,5.35,6.0,32.95,5.09,1475.7,1445.88,conical,type2,13.28,,aluminum,0.686,311.026,515.784,0.603,2700,0.1681,0.293,23.61
331,40 mm,C,17.12,17.12,18.5,21.18,33.31,5.68,1380.15,1399.77,spherical,type3,12.99,,aluminum,0.763,920.783,2627.301,0.35,2700,0.4925,0.761,27.9
332,29 mm,E,11.32,11.32,4.39,6.09,92.07,5.14,1474.72,1423.92,conical,type1,13.49,,aluminum,0.746,402.571,759.518,0.53,2700,0.2659,0.425,37.71
333,40 mm,C,6.37,6.37,11.52,13.89,25.48,5.4,1415.97,1469.53,ogive,type2,4.94,,steel,0.897,127.476,135.337,0.942,7800,0.2484,0.195,54.26
334,29 mm,B,18.87,18.87,19.97,20.49,53.53,1.66,812.23,822.04,spherical,type2,5.58,13.21,aluminum,0.219,1118.649,3518.15,0.318,2700,0.487,0.249,74.82
335,29 mm,D,7.69,7.69,11.05,13.48,93.27,4.19,1257.47,1208.59,conical,type1,8.35,,tungsten,0.183,185.782,238.11,0.78,19300,0.2177,0.58,46.3
336,29 mm,D,16.53,16.53,7.83,9.98,85.85,3.69,1210.36,1157.6,spherical,type1,10.65,,aluminum,0.359,858.412,2364.924,0.363,2700,0.0196,0.416,40.95
337,40 mm,A,13.46,13.46,13.87,15.31,79.69,4.54,1194.08,1236.46,cylindrical,type1,9.42,4.04,steel,0.74,569.167,1276.832,0.446,7800,0.261,0.377,39.58
338,40 mm,C,9.8,9.8,4.27,5.93,55.45,4.67,1379.2,1389.5,cylindrical,type3,11.1,8.37,tungsten,0.169,301.719,492.807,0.612,19300,0.1169,0.703,71.52
339,40 mm,A,10.7,10.7,10.92,13.87,64.47,1.86,841.87,892.5,cylindrical,type3,9.81,14.21,steel,0.769,359.681,641.431,0.561,7800,0.2117,0.481,26.83
340,29 mm,E,14.37,14.37,2.68,4.71,74.47,3.89,1255.38,1263.87,ogive,type2,,8.6,aluminum,0.295,648.729,1553.706,0.418,2700,0.4825,0.521,69.99
341,40 mm,D,19.47,19.47,16.32,17.51,119.46,3.08,1021.66,998.08,conical,type2,3.57,6.97,tungsten,0.681,1190.918,3864.528,0.308,19300,0.1922,0.841,31.24
342,29 mm,C,11.38,11.38,13.6,15.7,50.69,5.92,1549.12,1489.14,spherical,type3,8.37,14.94,tungsten,0.241,406.85,771.659,0.527,19300,0.2971,0.321,35.44
343,40 mm,E,11.89,11.89,11.52,13.36,104.78,3.86,1164.91,1151.36,cylindrical,type1,4.01,9.91,steel,0.791,444.134,880.125,0.505,7800,0.3427,0.333,77.48
344,40 mm,A,9.32,9.32,7.68,8.56,57.08,5.56,1420.46,1485.91,ogive,type3,3.98,11.32,tungsten,0.222,272.886,423.883,0.644,19300,0.2775,0.749,72.35
345,29 mm,E,10.62,10.62,13.6,14.96,75.88,1.59,824.11,829.95,conical,type3,13.33,5.44,brass,0.471,354.323,627.151,0.565,8500,0.106,0.15,74.2
346,40 mm,B,10.79,10.79,4.48,6.88,46.54,3.25,1247.22,1197.11,spherical,type2,9.7,8.42,steel,0.172,365.757,657.753,0.556,7800,0.3976,0.445,52.6
347,29 mm,B,9.45,9.45,4.1,5.39,74.64,4.16,1317.42,1287.87,conical,type2,5.08,7.39,steel,0.177,280.552,441.87,0.635,7800,0.2224,0.285,44.11
348,40 mm,E,16.28,16.28,7.21,9.93,60.1,2.41,1054.8,1039.6,cylindrical,type3,,6.66,brass,0.184,832.643,2259.237,0.369,8500,0.0904,0.627,78.95
349,40 mm,D,17.48,17.48,6.31,7.8,97.93,2.17,1051.91,1011.68,ogive,type3,8.69,,tungsten,0.117,959.915,2796.552,0.343,19300,0.2744,0.799,33.46
350,29 mm,E,13.41,13.41,4.56,7.11,45.98,3.25,1198.48,1185.94,conical,type3,13.84,5.9,aluminum,0.149,564.947,1262.656,0.447,2700,0.369,0.605,54.42
351,40 mm,C,17.56,17.56,14.99,17.95,22.86,3.27,976.9,1042.58,conical,type1,3.98,12.81,steel,0.308,968.721,2835.125,0.342,7800,0.3105,0.899,65.95
352,40 mm,C,12.44,12.44,10.9,13.55,43.16,2.29,949.21,987.95,cylindrical,type3,9.79,14.31,steel,0.574,486.173,1007.998,0.482,7800,0.4246,0.196,51.08
353,40 mm,E,10.57,10.57,11.7,13.49,103.43,3.14,1054.3,1109.09,ogive,type2,,10.84,brass,0.617,350.994,618.335,0.568,8500,0.0945,0.324,61.98
354,40 mm,B,14.31,14.31,8.45,11.08,68.46,3.13,1099.74,1095.17,conical,type3,13.64,10.08,steel,0.621,643.323,1534.326,0.419,7800,0.1976,0.455,38.87
355,29 mm,D,16.98,16.98,11.03,12.17,102.75,3.79,1147.01,1212.56,ogive,type3,10.72,8.11,tungsten,0.261,905.785,2563.372,0.353,19300,0.4692,0.29,66.75
356,29 mm,A,6.26,6.26,9.18,11.94,93.05,1.64,821.13,840.75,conical,type1,10.24,14.05,brass,0.631,123.111,128.446,0.958,8500,0.4263,0.349,42.99
357,40 mm,C,11.18,11.18,5.0,7.44,112.73,5.19,1497.2,1476.3,cylindrical,type3,7.68,12.73,steel,0.721,392.675,731.685,0.537,7800,0.366,0.228,60.35
358,40 mm,A,17.83,17.83,6.76,7.63,36.42,2.06,963.18,940.62,spherical,type2,9.61,8.58,tungsten,0.571,998.74,2967.923,0.337,19300,0.1228,0.402,48.39
359,29 mm,D,10.97,10.97,10.6,12.06,33.47,2.07,1021.32,951.41,cylindrical,type2,12.07,10.49,steel,0.899,378.062,691.224,0.547,7800,0.2966,0.422,74.2
360,29 mm,E,16.7,16.7,9.67,11.88,99.96,3.59,1119.86,1174.5,ogive,type1,7.26,,aluminum,0.467,876.159,2438.642,0.359,2700,0.0621,0.85,54.81
361,29 mm,B,15.44,15.44,9.14,9.66,79.4,3.23,1160.27,1108.08,conical,type1,5.64,8.65,aluminum,0.323,748.936,1927.261,0.389,2700,0.0715,0.75,37.31
362,29 mm,B,10.63,10.63,7.57,8.97,49.88,4.09,1319.86,1253.68,ogive,type2,7.3,8.23,tungsten,0.146,354.99,628.924,0.564,19300,0.1382,0.1,78.28
363,29 mm,B,15.25,15.25,17.11,19.16,38.94,2.34,849.27,908.83,cylindrical,type2,13.21,7.31,steel,0.83,730.617,1856.984,0.393,7800,0.3577,0.698,68.1
364,40 mm,E,13.68,13.68,12.55,13.79,85.67,3.5,1194.83,1125.03,ogive,type1,,13.76,tungsten,0.235,587.925,1340.469,0.439,19300,0.1581,0.881,68.25
365,29 mm,E,18.88,18.88,18.73,21.15,28.25,3.18,1084.92,1021.49,spherical,type1,4.54,6.2,tungsten,0.686,1119.835,3523.746,0.318,19300,0.4537,0.554,27.1
366,40 mm,C,14.45,14.45,7.12,8.12,89.39,1.74,914.7,876.21,cylindrical,type1,7.26,5.02,brass,0.405,655.972,1579.8,0.415,8500,0.1149,0.127,47.78
367,40 mm,D,6.74,6.74,13.85,15.22,36.13,1.84,986.65,924.79,spherical,type2,,11.63,aluminum,0.832,142.715,160.317,0.89,2700,0.1637,0.676,59.41
368,29 mm,B,16.24,16.24,19.8,22.52,93.36,3.53,1089.25,1102.2,ogive,type2,,10.51,tungsten,0.86,828.556,2242.625,0.369,19300,0.142,0.793,32.98
369,40 mm,D,17.81,17.81,7.25,8.81,80.19,1.75,962.31,896.86,ogive,type1,10.8,,tungsten,0.793,996.501,2957.947,0.337,19300,0.0522,0.148,54.75
370,29 mm,E,9.27,9.27,12.07,12.77,73.54,3.38,1172.56,1135.7,ogive,type3,12.97,7.88,brass,0.192,269.966,417.098,0.647,8500,0.3089,0.172,73.37
371,29 mm,C,17.83,17.83,16.85,19.69,20.88,5.32,1316.94,1370.23,spherical,type1,12.09,13.05,steel,0.594,998.74,2967.923,0.337,7800,0.4645,0.385,65.61
372,29 mm,B,14.11,14.11,14.6,15.42,68.77,3.07,972.29,1038.24,cylindrical,type3,14.75,8.86,tungsten,0.781,625.466,1470.888,0.425,19300,0.0324,0.723,41.58
373,40 mm,D,17.82,17.82,11.25,13.23,48.87,5.94,1483.58,1465.95,spherical,type1,9.57,,steel,0.463,997.62,2962.932,0.337,7800,0.1216,0.555,50.94
374,29 mm,C,5.62,5.62,10.96,13.64,118.23,3.8,1158.48,1201.12,spherical,type1,3.81,10.41,tungsten,0.382,99.225,92.941,1.068,19300,0.0888,0.829,50.11
375,40 mm,D,10.47,10.47,19.02,19.94,87.65,4.87,1373.27,1307.51,ogive,type1,14.84,7.18,aluminum,0.457,344.384,600.95,0.573,2700,0.2633,0.362,57.13
376,40 mm,B,8.77,8.77,16.11,18.53,97.21,3.6,1120.95,1127.97,cylindrical,type3,,12.72,brass,0.22,241.629,353.181,0.684,8500,0.4149,0.218,67.43
377,29 mm,D,14.54,14.54,3.97,6.92,22.88,2.79,1040.41,1064.6,spherical,type1,4.1,9.08,steel,0.452,664.169,1609.503,0.413,7800,0.238,0.277,39.24
378,40 mm,E,6.07,6.07,9.01,11.4,74.71,4.69,1236.41,1302.9,cylindrical,type2,7.65,5.23,brass,0.802,115.752,117.102,0.988,8500,0.3231,0.764,72.83
379,40 mm,E,9.25,9.25,19.16,21.7,90.34,2.91,986.12,1009.14,conical,type1,8.46,3.71,tungsten,0.789,268.803,414.404,0.649,19300,0.2447,0.215,25.51
380,40 mm,D,7.75,7.75,10.98,12.0,99.22,3.97,1197.05,1251.81,conical,type1,3.09,7.01,brass,0.805,188.692,243.727,0.774,8500,0.0918,0.414,72.05
381,29 mm,A,6.69,6.69,11.92,13.35,118.91,5.73,1428.52,1446.31,spherical,type3,,,tungsten,0.507,140.605,156.775,0.897,19300,0.3578,0.154,55.64
382,40 mm,A,13.24,13.24,12.99,14.06,48.92,2.11,886.61,917.16,ogive,type1,7.7,12.84,brass,0.379,550.714,1215.241,0.453,8500,0.1399,0.586,72.61
383,29 mm,A,7.98,7.98,11.98,14.76,20.9,3.4,1132.95,1080.06,cylindrical,type3,12.15,9.35,steel,0.663,200.058,266.077,0.752,7800,0.225,0.17,27.4
384,40 mm,E,16.77,16.77,2.62,4.91,95.76,5.32,1505.39,1446.81,ogive,type1,,6.84,steel,0.222,883.519,2469.436,0.358,7800,0.317,0.141,59.25
385,29 mm,A,9.84,9.84,6.73,9.28,91.94,4.67,1359.49,1317.46,conical,type2,11.57,7.04,steel,0.403,304.187,498.866,0.61,7800,0.4082,0.258,65.29
386,40 mm,C,16.1,16.1,19.68,21.84,79.63,4.79,1304.15,1264.11,conical,type1,11.45,8.99,brass,0.611,814.332,2185.125,0.373,8500,0.0626,0.462,78.47
387,40 mm,A,16.91,16.91,4.85,5.37,92.71,1.77,926.05,902.26,conical,type3,10.98,,tungsten,0.66,898.332,2531.8,0.355,19300,0.4703,0.207,69.95
388,29 mm,E,7.57,7.57,8.34,9.63,22.31,5.64,1504.45,1485.15,conical,type2,12.68,,aluminum,0.297,180.029,227.136,0.793,2700,0.4622,0.87,59.13
389,40 mm,B,11.55,11.55,11.49,14.02,31.37,4.1,1243.47,1214.88,conical,type2,6.23,4.84,tungsten,0.36,419.096,806.76,0.519,19300,0.3237,0.586,32.03
390,29 mm,E,9.96,9.96,2.55,3.33,78.76,4.11,1248.1,1248.7,ogive,type2,,4.53,aluminum,0.236,311.651,517.341,0.602,2700,0.1864,0.456,46.42
391,29 mm,B,18.08,18.08,13.58,15.05,70.37,3.47,1097.44,1117.69,spherical,type3,4.83,4.9,aluminum,0.499,1026.944,3094.524,0.332,2700,0.3801,0.284,51.32
392,40 mm,C,17.24,17.24,17.13,19.83,118.09,1.93,832.47,840.8,ogive,type2,12.35,7.01,steel,0.116,933.737,2682.937,0.348,7800,0.0733,0.581,25.57
393,40 mm,B,15.42,15.42,11.79,13.98,98.95,2.91,1072.79,1077.2,cylindrical,type3,,7.49,steel,0.612,746.997,1919.781,0.389,7800,0.3548,0.287,23.72
394,40 mm,C,11.92,11.92,5.6,8.1,95.62,1.64,926.32,864.86,cylindrical,type1,13.33,,brass,0.643,446.378,886.803,0.503,8500,0.0132,0.885,59.0
395,40 mm,A,14.19,14.19,14.97,16.78,61.44,2.12,906.95,903.11,cylindrical,type1,,12.41,brass,0.172,632.579,1496.049,0.423,8500,0.3766,0.553,33.1
396,29 mm,B,14.03,14.03,8.04,8.8,21.28,2.63,1050.01,1039.62,ogive,type1,,7.71,aluminum,0.33,618.394,1446.011,0.428,2700,0.3843,0.387,59.34
397,40 mm,D,6.59,6.59,7.15,10.15,42.93,2.14,1002.18,980.33,cylindrical,type2,7.54,,aluminum,0.866,136.433,149.849,0.91,2700,0.1666,0.743,21.55
398,40 mm,D,12.48,12.48,7.36,9.35,82.99,5.33,1450.38,1411.85,cylindrical,type1,9.77,6.6,aluminum,0.317,489.304,1017.753,0.481,2700,0.2464,0.299,79.85
399,29 mm,C,11.26,11.26,13.66,15.48,107.16,5.8,1490.42,1443.75,spherical,type3,11.65,6.24,brass,0.259,398.315,747.504,0.533,8500,0.0934,0.441,49.81
400,40 mm,A,18.06,18.06,15.49,17.98,92.41,2.42,877.7,937.97,spherical,type1,9.52,6.31,aluminum,0.475,1024.673,3084.266,0.332,2700,0.3568,0.89,39.91
401,29 mm,C,12.01,12.01,6.0,6.61,117.4,3.24,1178.96,1130.81,cylindrical,type3,8.8,6.2,aluminum,0.14,453.144,907.043,0.5,2700,0.256,0.309,47.84
402,40 mm,C,6.26,6.26,15.35,18.06,118.71,4.67,1256.05,1279.84,ogive,type2,5.13,7.57,steel,0.756,123.111,128.446,0.958,7800,0.3908,0.76,62.33
403,40 mm,E,14.72,14.72,9.95,11.15,74.14,5.31,1447.89,1435.67,conical,type2,,6.03,brass,0.68,680.715,1670.021,0.408,8500,0.4951,0.504,70.33
404,40 mm,A,15.07,15.07,13.28,15.23,85.2,4.7,1373.41,1305.44,ogive,type3,13.49,3.63,aluminum,0.432,713.471,1792.002,0.398,2700,0.0792,0.474,49.32
405,29 mm,A,13.02,13.02,18.44,19.13,20.51,2.65,976.06,944.06,spherical,type2,6.43,8.95,steel,0.186,532.564,1155.664,0.461,7800,0.4667,0.664,42.73
406,29 mm,D,13.67,13.67,8.49,11.09,51.8,3.97,1252.64,1248.75,spherical,type1,3.1,12.71,tungsten,0.823,587.066,1337.532,0.439,19300,0.2499,0.851,55.47
407,40 mm,D,12.77,12.77,3.84,5.38,62.44,4.43,1398.35,1385.24,cylindrical,type1,,,aluminum,0.301,512.309,1090.364,0.47,2700,0.2578,0.364,68.55
408,40 mm,E,5.09,5.09,5.45,6.71,42.96,5.87,1600.31,1580.99,cylindrical,type2,12.72,12.96,tungsten,0.405,81.393,69.048,1.179,19300,0.0975,0.305,63.34
409,29 mm,E,13.0,13.0,13.82,16.12,52.48,4.24,1339.38,1280.32,ogive,type1,13.28,,brass,0.378,530.929,1150.347,0.462,8500,0.3041,0.105,34.59
410,40 mm,A,6.74,6.74,15.24,15.75,109.41,5.83,1379.7,1441.9,conical,type3,3.46,5.59,aluminum,0.629,142.715,160.317,0.89,2700,0.4826,0.395,77.14
411,40 mm,C,15.71,15.71,8.6,11.0,107.72,5.02,1374.8,1423.91,spherical,type3,13.04,5.72,brass,0.235,775.358,2030.146,0.382,8500,0.1532,0.169,59.49
412,40 mm,A,5.48,5.48,6.23,7.33,89.87,5.05,1484.97,1456.97,conical,type1,,13.7,aluminum,0.353,94.343,86.167,1.095,2700,0.1785,0.615,37.24
413,40 mm,A,16.49,16.49,17.43,18.21,47.91,3.46,1121.98,1058.85,spherical,type1,3.46,14.3,aluminum,0.894,854.262,2347.797,0.364,2700,0.1491,0.366,23.49
414,40 mm,B,17.01,17.01,6.9,8.89,79.9,2.13,907.78,947.26,conical,type1,,13.22,tungsten,0.853,908.989,2576.983,0.353,19300,0.2084,0.778,32.45
415,40 mm,C,16.8,16.8,11.9,14.03,82.63,5.32,1507.61,1448.45,conical,type1,12.46,13.18,aluminum,0.778,886.683,2482.713,0.357,2700,0.1231,0.738,71.08
416,40 mm,D,17.28,17.28,12.91,14.93,61.49,4.57,1376.39,1341.67,spherical,type2,6.52,4.68,steel,0.259,938.075,2701.655,0.347,7800,0.4924,0.419,21.51
417,29 mm,C,19.55,19.55,8.78,9.71,94.21,5.25,1446.28,1443.09,conical,type3,3.84,,aluminum,0.412,1200.725,3912.361,0.307,2700,0.1779,0.621,47.11
418,29 mm,A,11.85,11.85,12.95,15.09,41.1,2.02,1029.54,961.97,conical,type1,4.56,,aluminum,0.142,441.15,871.272,0.506,2700,0.0995,0.113,76.18
419,40 mm,A,12.38,12.38,11.95,13.74,112.29,2.73,1036.62,1048.2,cylindrical,type3,5.08,,steel,0.761,481.494,993.483,0.485,7800,0.4417,0.425,64.29
420,29 mm,A,18.55,18.55,6.97,9.96,64.99,4.68,1294.57,1316.96,cylindrical,type2,,,steel,0.874,1081.03,3342.184,0.323,7800,0.4645,0.526,50.54
421,29 mm,E,9.72,9.72,8.32,9.68,54.98,2.31,1027.15,1026.91,ogive,type1,3.35,13.93,aluminum,0.286,296.813,480.836,0.617,2700,0.2077,0.239,52.48
422,29 mm,E,18.48,18.48,15.36,18.1,60.64,3.55,1044.01,1078.82,conical,type1,,,aluminum,0.774,1072.887,3304.491,0.325,2700,0.0636,0.383,52.2
423,29 mm,C,9.91,9.91,14.26,15.76,94.53,3.89,1199.6,1201.99,spherical,type1,14.36,,tungsten,0.66,308.53,509.588,0.605,19300,0.4913,0.507,53.7
424,40 mm,D,9.78,9.78,9.34,9.93,70.07,1.66,921.33,897.86,conical,type1,5.73,,aluminum,0.319,300.488,489.796,0.613,2700,0.1087,0.213,22.65
425,29 mm,B,12.94,12.94,19.9,21.78,89.14,1.76,784.52,844.15,cylindrical,type2,10.92,10.76,tungsten,0.388,526.04,1134.492,0.464,19300,0.4679,0.258,21.58
426,29 mm,B,13.16,13.16,17.89,19.7,76.25,4.75,1232.0,1258.73,cylindrical,type3,5.29,10.18,tungsten,0.775,544.079,1193.346,0.456,19300,0.2644,0.74,39.49
427,29 mm,C,6.79,6.79,7.54,9.63,33.51,2.39,999.64,1007.45,spherical,type3,7.24,8.51,brass,0.227,144.84,163.911,0.884,8500,0.156,0.609,60.81
428,29 mm,A,15.17,15.17,6.3,8.01,100.27,6.0,1441.86,1511.27,spherical,type2,6.79,5.03,aluminum,0.417,722.971,1827.912,0.396,2700,0.3712,0.713,42.02
429,40 mm,C,11.79,11.79,12.89,14.32,67.07,5.44,1405.28,1377.02,conical,type1,13.1,10.21,steel,0.506,436.694,858.104,0.509,7800,0.4739,0.205,47.21
430,29 mm,E,11.3,11.3,6.95,8.0,42.23,4.81,1391.42,1369.14,spherical,type1,13.96,7.78,aluminum,0.454,401.15,755.499,0.531,2700,0.2475,0.312,23.5
431,40 mm,B,17.15,17.15,14.57,16.0,80.88,3.49,1133.21,1168.72,spherical,type2,12.42,8.88,aluminum,0.7,924.013,2641.137,0.35,2700,0.0935,0.292,31.49
432,40 mm,C,6.03,6.03,19.88,22.65,79.53,3.67,1151.81,1106.23,spherical,type1,6.06,7.42,tungsten,0.18,114.231,114.802,0.995,19300,0.2367,0.579,59.9
433,29 mm,E,11.47,11.47,15.97,16.92,99.84,2.65,1045.08,980.3,conical,type1,12.93,,tungsten,0.315,413.311,790.112,0.523,19300,0.4512,0.713,49.15
434,40 mm,D,11.47,11.47,19.55,21.45,102.18,5.74,1409.34,1417.41,cylindrical,type1,14.81,11.44,tungsten,0.826,413.311,790.112,0.523,19300,0.4508,0.277,77.93
435,40 mm,B,5.34,5.34,17.23,18.15,51.69,2.78,1061.08,1020.8,ogive,type1,13.32,,steel,0.41,89.584,79.73,1.124,7800,0.0302,0.783,67.87
436,40 mm,E,10.35,10.35,6.3,8.39,118.22,4.77,1292.97,1324.74,spherical,type2,14.65,7.21,steel,0.335,336.535,580.523,0.58,7800,0.0419,0.699,39.79
437,29 mm,C,16.8,16.8,17.43,20.06,91.56,1.77,842.64,861.51,cylindrical,type2,6.37,10.2,aluminum,0.271,886.683,2482.713,0.357,2700,0.469,0.626,20.12
438,29 mm,A,9.61,9.61,10.33,12.76,118.86,5.73,1558.78,1495.0,ogive,type3,12.95,7.27,steel,0.104,290.133,464.696,0.624,7800,0.3806,0.583,76.39
439,40 mm,E,15.06,15.06,9.93,12.06,112.91,5.13,1386.8,1370.02,cylindrical,type1,,,brass,0.339,712.525,1788.437,0.398,8500,0.3162,0.689,72.0
440,29 mm,A,14.98,14.98,12.31,13.09,104.37,5.33,1407.18,1372.01,spherical,type1,12.22,7.5,tungsten,0.534,704.975,1760.087,0.401,19300,0.1653,0.22,21.16
441,29 mm,C,19.98,19.98,10.82,12.07,27.51,1.65,932.42,869.63,ogive,type2,,13.87,brass,0.336,1254.125,4176.236,0.3,8500,0.3569,0.212,42.7
442,29 mm,E,17.63,17.63,7.43,8.52,28.58,5.49,1456.92,1467.0,spherical,type1,,10.7,aluminum,0.741,976.46,2869.165,0.34,2700,0.4745,0.246,24.32
443,29 mm,C,14.49,14.49,15.84,16.97,68.09,4.68,1354.8,1286.18,ogive,type2,9.6,14.85,steel,0.109,659.609,1592.956,0.414,7800,0.3196,0.403,44.13
444,40 mm,A,19.78,19.78,11.69,12.21,51.01,2.57,1006.94,1005.11,conical,type3,3.85,5.38,tungsten,0.5,1229.143,4052.075,0.303,19300,0.4591,0.374,37.55
445,40 mm,C,5.04,5.04,17.73,20.15,50.93,3.86,1119.27,1167.99,cylindrical,type1,14.87,7.58,brass,0.82,79.801,67.033,1.19,8500,0.2415,0.516,61.29
